condition,stressor,montage,dropout_fraction,metric,metric_role,n_subjects,clean_mean,condition_mean,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,delta_sd,cohens_dz,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,shapiro_p_value_delta,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr,sign_test_p_value_bh_fdr
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,balanced_accuracy,secondary,109,0.6427675840978593,0.6426911314984708,-7.64525993883825e-05,-0.021118049560640333,0.020965144361863565,0.014999999999999902,-0.015000000000000013,0.030000000000000027,0.11082820124595842,-0.0006898298314768552,-0.007202034879608479,0.9942669438447093,2805.0,0.7940232287158476,0.3337051161974391,0.11784330778795171,48,0.44036697247706424,59,0.5412844036697247,0.9942669438447093,0.7940232287158476,0.3432395480887945
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,brier_score,calibration,109,0.2223497516541646,0.21528427820927282,-0.007065473444891867,-0.013827238360101633,-0.00030370852968210175,-0.00982599978743609,-0.016768080827306575,0.0001969133014865787,0.0356148938780995,-0.19838535723495743,-2.071203936412671,0.04072288387426479,2168.0,0.01214904411075333,0.08422157489669987,0.035802475053692634,45,0.41284403669724773,64,0.5871559633027523,0.04442496422647068,0.01325350266627636,0.09187808170549078
reduced_montage_motor_extended,reduced_montage,motor_extended,0.0,ece,calibration,109,0.2788364787706237,0.24801781241091808,-0.03081866635970562,-0.04044537720043702,-0.021191955518974223,-0.030283452967248686,-0.039642980532091004,-0.015226343220250405,0.05070485136455864,-0.6078050823603648,-6.34567135751583,5.3166911207170334e-09,1167.0,3.129054580729984e-08,0.0002374680146274881,0.006956654662074063,35,0.3211009174311927,74,0.6788990825688074,7.361572320992816e-09,4.172072774306645e-08,0.0002947878802272266
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,roc_auc,primary,109,0.6754026503567789,0.6362181447502547,-0.039184505606523944,-0.05195378930534165,-0.02641522190770624,-0.039999999999999925,-0.050000000000000044,-0.010000000000000009,0.0672570977452608,-0.5826077383674355,-6.082603363019192,1.8250777182379773e-08,1064.5,1.8333578680903575e-07,5.907834472853354e-06,0.23996876466183364,74,0.6788990825688074,28,0.25688073394495414,2.3465284948773995e-08,2.3571744018304596e-07,8.180078500873875e-06
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,balanced_accuracy,secondary,109,0.6427675840978593,0.526788990825688,-0.11597859327217125,-0.14314821409633097,-0.08880897244801153,-0.08000000000000007,-0.12,-0.05500000000000005,0.1431051174500396,-0.810443367356596,-8.461277163316453,1.417070032832954e-13,651.0,3.5021931777600633e-12,1.6010060804361699e-10,0.0011194197577251536,86,0.7889908256880734,21,0.1926605504587156,2.125605049249431e-13,5.2532897666400955e-12,2.6198281316228234e-10
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,brier_score,calibration,109,0.2223497516541646,0.31964967553709456,0.09729992388293005,0.08017547841755757,0.11442436934830252,0.06685534907110191,0.046673659315199095,0.09456623240612455,0.0901961715052649,1.0787589124805645,11.262573695516103,6.270632791366532e-20,24.0,2.480595616516692e-19,1.7808476387094032e-26,7.767534798599402e-08,105,0.963302752293578,4,0.03669724770642202,1.8811898374099596e-19,1.786028843892018e-18,1.2822102998707702e-25
region_dropout_left_motor_strip_0.140625,region_dropout,all_channels,0.140625,ece,calibration,109,0.2788364787706237,0.34487462036901256,0.06603814159838893,0.05137077669355192,0.08070550650322594,0.05282258260103567,0.029427167260419496,0.08765319119803955,0.07725448179692086,0.8548130809029777,8.924510572453237,1.2869366692703977e-14,673.0,2.102017784217093e-12,9.593063014050702e-10,0.07589282844842214,86,0.7889908256880734,23,0.21100917431192662,2.1058963678970143e-14,3.290114792687624e-12,1.4389594521076053e-09
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,roc_auc,primary,109,0.6754026503567789,0.6625815494393476,-0.012821100917431197,-0.01953205702682067,-0.006110144808041724,-0.010000000000000009,-0.019999999999999907,0.0,0.035347278802737685,-0.3627181879822157,-3.7868890588909676,0.00025114370984017915,1191.0,0.0003527415642420699,0.0015165131944572209,0.003981760448794573,61,0.5596330275229358,30,0.27522935779816515,0.0003117646053188431,0.0004378860797487764,0.001819815833348665
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,balanced_accuracy,secondary,109,0.6427675840978593,0.59131498470948,-0.051452599388379205,-0.06777070547853978,-0.03513449329821863,-0.04500000000000004,-0.06500000000000006,-0.03499999999999992,0.0859491011563227,-0.5986403429024595,-6.249988668500992,8.347980519170753e-09,1094.0,2.41673060255363e-08,3.918715378691487e-05,0.000571597725678164,75,0.6880733944954128,32,0.29357798165137616,1.113064069222767e-08,3.346242372766565e-08,5.2249538382553166e-05
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,brier_score,calibration,109,0.2223497516541646,0.2499049859415331,0.027555234287368443,0.02187344347200538,0.03323702510273151,0.019682003642804424,0.01552163965748854,0.02461044369614329,0.029926561994419527,0.9207617731868676,9.613035133758874,3.5400261678501464e-16,126.0,3.91406245359272e-18,1.4578362112536647e-19,8.290648975189038e-11,99,0.908256880733945,10,0.09174311926605505,6.627647245480388e-16,1.7613281041167243e-17,5.831344845014659e-19
region_dropout_midline_motor_strip_0.046875,region_dropout,all_channels,0.046875,ece,calibration,109,0.2788364787706237,0.2924446713880107,0.013608192617387056,0.004661643036121269,0.022554742198652843,0.010079160209635174,0.0019319029888469341,0.024333099578761008,0.04712237380439184,0.28878410654513254,3.014994587233065,0.003203480744367759,2074.0,0.005238808372547082,0.03461537053818671,0.6953176649418684,66,0.6055045871559633,43,0.3944954128440367,0.00372017118700772,0.006083777464893385,0.038942291855460054
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,roc_auc,primary,109,0.6754026503567789,0.6275433231396536,-0.0478593272171254,-0.062074514778477766,-0.03364413965577304,-0.039999999999999925,-0.06000000000000005,-0.020000000000000018,0.07487281838444965,-0.6392083034911548,-6.673530611488373,1.1097429827403575e-09,936.0,5.942731361086503e-09,1.0540017368882998e-07,0.20322981965234194,79,0.7247706422018348,25,0.22935779816513763,1.5980298951461148e-09,8.557533159964564e-09,1.5177625011191518e-07
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,balanced_accuracy,secondary,109,0.6427675840978593,0.5180886850152905,-0.12467889908256881,-0.15297819588239867,-0.09637960228273895,-0.08000000000000013,-0.1150000000000001,-0.06,0.14905523409778498,-0.8364610598026734,-8.732909847108068,3.4792957259121963e-14,604.0,7.522692770855808e-13,3.9882438658015513e-10,9.496953301815245e-05,86,0.7889908256880734,22,0.2018348623853211,5.4458541796886555e-14,1.2309860897764048e-12,6.242468659515472e-10
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,brier_score,calibration,109,0.2223497516541646,0.3312712515634183,0.10892149990925375,0.0887943614688442,0.1290486383496633,0.06569765231494978,0.05443306292395983,0.09901307685556737,0.106011656514794,1.0274483343636243,10.72687553282585,1.0323573517814061e-18,43.0,4.176563360529747e-19,3.778133811389131e-25,1.1159603039880273e-08,104,0.9541284403669725,5,0.045871559633027525,2.858835743394663e-18,2.5059380163178484e-18,1.9430402458572673e-24
region_dropout_right_motor_strip_0.140625,region_dropout,all_channels,0.140625,ece,calibration,109,0.2788364787706237,0.3539088432719772,0.07507236450135354,0.05940646112635267,0.09073826787635442,0.07102422464912717,0.05084655844710009,0.09039418064828664,0.08251388405269756,0.9098149403972853,9.498746844133843,6.437507558799114e-16,540.0,1.088974737324724e-13,1.4176630345560641e-11,0.13668893632587314,89,0.8165137614678899,20,0.1834862385321101,1.1035727243655624e-15,2.3060641496288273e-13,2.6860983812641214e-11
